Assay	Library Name	Assay Date	Region	Country	Density lb/ft3	Sulfur %	KinematicViscosity @ 100 F cSt	TAN(mg KOH/g) mg KOH/g	Pour Point F	Blank
Champion Export-1983	Aspen Assay Library	4/11/1983	Asia	Brunei	56.6234481062215	0.135776620072172	15.2806563868454	0.143986605287513	28.7914764022822	
Shengli-1983	Aspen Assay Library	4/11/1983	Asia	China	56.4653753444275	1.00445877853391	56.1316497174716	1.16	81.8366814359624	
Taching (Daqing)-1983	Aspen Assay Library	4/11/1983	Asia	China	53.5123138047962	0.0905266301960949	15.622036092641	1.15999998855005	103.178506911061	
Sepingan-Yakin Mixed-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	54.0183087616408	0.197294118		0.3		
Bombay High-1983	Aspen Assay Library	4/11/1983	Asia	India	51.3969135906195	0.0178667324720102	3.8489166853101	0.127390404373643	92.0446395527133	
Arimbi-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	53.9633983799752	0.179072196549582	7.85647564245824	0.299964372835244	104.031029274969	
Bunyu-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	54.0183087616409	0.0502692687473449	2.67	0.3	61.0230755782651	
Cinta-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	53.4357327898409	0.0741691840312298	14.1833992001895	0.299991981281586	120.321028872286	
Jatibarang-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	54.9270279744536	0.07	159.604769828431	0.3	108.928114975303	
Sanga-Sanga-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	56.1688862746175	0.194049215625006		0.3		
Bekok-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	49.0965114600868	0.0220792094761728	2.17075747343999	0.0350000000000001	56.3347202582596	
Dulang-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	51.5132260267999	0.0493463598438138	14.9197542368204	0.459999999999999	95.9648543513586	
Pulai-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	51.0189555283046	0.016710292965438	1.99652678815177	0.252981790719513	84.6201635895364	
Tapis-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	50.2202460423407	0.0200863925255285	2.04315999830309	0.0399999999999999	44.9550955834514	
Udang-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	51.9227372691004	0.042639369346325	10.1752966236745	0.3	100.038163024668	
Labuan Blend-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	53.3239444144649	0.0689796282701793	3.50867782078137	0.3	51.2936644010102	
Tembungo-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	52.015927339467	0.0486514394157262	2.42153587740001	0.253	25.9926205883109	
Miri Light-1983	Aspen Assay Library	4/11/1983	Asia	Malaysia	52.4471160403417	0.0713684472842661	4.16041358129878	0.175	43.9023933987127	
Soviet Export Blend-1983	Aspen Assay Library	4/11/1983	Asia	FSU	54.415878216674	1.47037465120104	6.04575174296742	0.127608765608038	-9.40140462553138	
Bach Ho (White Tiger)-1983	Aspen Assay Library	4/11/1983	Asia	Vietnam	51.7864625079839	0.0287637611248829	5.58056683212918	0.0350507709887024	100.426635835523	
Dai Hung-1983	Aspen Assay Library	4/11/1983	Asia	Vietnam	52.7284258926583	0.0722475166171568	3.40881728261311	0.18640965270869	91.8874914791282	
Salawati-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	52.0105486129782	0.197294118		0.3		
Walio-1983	Aspen Assay Library	4/11/1983	Asia	Indonesia	53.1071565656615	0.571509844332315	5	0.3	69.9106475232137	
Jabiru-1983	Aspen Assay Library	4/11/1983	Australia	Australia	50.7224898237885	0.0419684791217924	3.49142775528768	0.0200000000000001	61.0243267383014	
Jackson Blend-1983	Aspen Assay Library	4/11/1983	Australia	Australia	50.8407892077145	0.0390460937621768	5.07200109011377	0.0399683382283897	105.151104721666	
Gippsland-1983	Aspen Assay Library	4/11/1983	Australia	Australia	50.1168992783757	0.0990578385341737	2.13792152926519	0.11	71.6966114219018	
Cano Limon-1983	Aspen Assay Library	4/11/1983	Latin America	Colombia	54.4115867721447	0.471608612960538	6.56143979260828	0.27	71.0230746874922	
Oriente-1983	Aspen Assay Library	4/11/1983	Latin America	Ecuador	54.0636962318608	1.03958554257416	18.42887434996	0.134942104588572	38.819263260887	
Isthmus-1991	Aspen Assay Library	3/4/1991	Latin America	Mexico	53.5861731737653	1.32079237079247	4.97264952839975	0.0889948023727114	-49.0062099460047	
Maya-1991	Aspen Assay Library	3/4/1991	Latin America	Mexico	57.3275973942618	3.17348750454941	57.0022263317431	0.0472150717044609	-32.8026096296076	
Olmeca-1991	Aspen Assay Library	3/4/1991	Latin America	Mexico	51.6657105444982	0.794790374703406	3.21179279852852	0.0289999999999998	-38.2062400416133	
Loreto-1983	Aspen Assay Library	4/11/1983	Latin America	Peru	54.1740472355123	0.244342150491865	4.00259407084892	0.134901514276953	34.1169239290219	
BCF 24-1983	Aspen Assay Library	4/11/1983	Latin America	Venezuela	56.900384015431	1.86166267280672	21.7564672591138	0.729987772140427	-17.9587276505791	
Bachaquero-1983	Aspen Assay Library	4/11/1983	Latin America	Venezuela	59.3479852112308	2.40878613610111	76.0729291108127	0.729981069295229	-26.3409318552084	
Boscan-1983	Aspen Assay Library	4/11/1983	Latin America	Venezuela	62.191041111018	5.51070765435555	1140.75273888056	0.730000000000001	62.8108348691876	
Ceuta-1983	Aspen Assay Library	4/11/1983	Latin America	Venezuela	53.7837326602275	1.20672473871885	5.30737124934416	0.729895168556158	-35.0127512012929	
Lagomedio-1983	Aspen Assay Library	10/24/1983 (ca.)	Latin America	Venezuela	53.808000473891	1.17704008593704	6.36650912986164	0.729942314268755	-15.0097687075359	
Leona-1983	Aspen Assay Library	2/24/1983 (ca.)	Latin America	Venezuela	56.4427416764459	1.51671294193509	13.2038027708787	0.729971284897318	-5.59006719424708	
Merey-1983	Aspen Assay Library	10/24/1983 (ca.)	Latin America	Venezuela	56.9194078400722	2.1689804509032	25.473920804019	0.73	-10.0049329294251	
Tia Juana Light-1983	Aspen Assay Library	4/11/1983	Latin America	Venezuela	53.7541228055279	1.10468409812188	6.25845889650222	0.729998729912896	-45.0162018641087	
Tia Juana Pesado A-1983	Aspen Assay Library	4/11/1983	Latin America	Venezuela	61.3723981797915	2.70104734438207	11141.0651408694	0.729999999999999	29.9942986014474	
Abu Al Bu Khoosh-1983	Aspen Assay Library	4/11/1983	Middle East	United Arab Emirates	53.8017522331585	1.92828829460243	6.1936023114539	0.0099080587152172	36.8225161978971	
Burgan-1983	Aspen Assay Library	4/11/1983	Middle East	Divided Zone	57.1325929169376	3.34229016268293	40.931444732061	0.11	23.9240281460307	
Hout-1983	Aspen Assay Library	4/11/1983	Middle East	Divided Zone	53.5939580603122	1.95735470995627	6.8865381849419	0.0399999999999997	30.0801062676592	
Khafji-1983	Aspen Assay Library	4/11/1983	Middle East	Divided Zone	54.9705837876502	2.87302716928107	11.128138573002	0.18	39.7441430057888	
Margham Light-1983	Aspen Assay Library	4/11/1983	Middle East	United Arab Emirates	48.4703937457219	0.0506585557635202	1.40695592299782	0.0325453636352263	28.2864715231188	
East Zeit Mix-1983	Aspen Assay Library	4/11/1983	Middle East	Egypt	51.6272760694892	0.902364831857956	2.8611018027139	0.13	53.8665285676286	
Aboozar (Ardeshir)-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	55.6181566882082	2.5086481427542	19.6373000910158	1.96	36.7683788728161	
Bahrgansar / Nowruz-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	56.3909300863357	2.57599515734603	28.7161042029569	0.839866107450537	39.384015058565	
Dorrood-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	52.4353804696388	2.24119554835477	5.51256925800648	0.217910397867804	35.4195043582704	
Foroozan-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	53.1515548044939	2.42981261276481	10.1999637007592	0.7	20.5751912519315	
Iranian Heavy-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	54.2376624683186	1.60241475865275	7.20283636446048	0.839873658322375	12.1899135116146	
Iranian Light-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	53.2458315019692	1.36917190738765	5.27470031989464	0.839892554943363	3.83707487957953	
Rostam-1976	Aspen Assay Library	1/1/1976	Middle East	Iran	52.6630329623675	1.4529226614015	3.95089769098594	0.839920340764112	10.0568250680452	
Sassan (Salmon)-1976	Aspen Assay Library	1/1/1976	Middle East	Iran	53.350115182553	1.90109628846098	4.90840983084446	0.839801043120469	27.1093404734561	
Sirri-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	54.2851639485378	2.21598024391775	6.86541071145676	0.84	32.5284648289095	
Soroosh-1983	Aspen Assay Library	4/11/1983	Middle East	Iran	58.7267968265131	3.33065915059758	378.528932856262	0.139187204089349	76.2779113254905	
Basrah Heavy-1983	Aspen Assay Library	4/11/1983	Middle East	Iraq	56.5284243108767	3.36302836220819	18.1212498854931	0.111885150272187	10.1720769340383	
Basrah Medium-1983	Aspen Assay Library	4/11/1983	Middle East	Iraq	54.3196296743061	2.59157801308097	7.76411552666035	0.111794332013813	0.254312333027478	
Kirkuk Blend-1983	Aspen Assay Library	4/11/1983	Middle East	Iraq	52.782131343244	1.94720702049191	4.37065809913285	0.111784675677181	4.06754709853546	
